N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
97,에스원,"81,900",800,-0.97%,500,"31,121","37,999",56.12,"19,663",21.90,10.48,
98,만도,"65,400","1,000",-1.51%,"1,000","30,710","46,957",24.14,"359,823",531.71,0.37,
99,한국가스공사,"33,200",400,+1.22%,"5,000","30,648","92,313",9.06,"144,847",-17.81,-2.24,
100,SK케미칼,"261,000","9,000",-3.33%,"5,000","30,645","11,741",20.26,"106,643",13.55,30.49,
101,더존비즈온,"98,800","1,200",-1.20%,500,"29,917","30,280",44.50,"100,012",54.71,15.09,
102,메리츠증권,"4,360",10,-0.23%,"1,000","29,472","675,962",14.45,"681,767",5.34,15.06,
103,GS리테일,"38,000",650,-1.68%,"1,000","29,260","77,000",15.54,"86,025",17.38,7.50,
104,LG화학우,"374,000","2,000",+0.54%,"5,000","28,756","7,689",63.80,"7,950",57.11,N/A,
105,OCI,"118,500","7,500",+6.76%,"5,000","28,262","23,849",18.41,"498,770",-11.48,-9.89,
106,대우건설,"6,730",260,+4.02%,"5,000","27,971","415,623",9.02,"4,635,066",9.85,11.06,
107,BGF리테일,"160,500","3,000",-1.83%,"1,000","27,741","17,284",32.26,"9,959",22.61,18.60,
108,한솔케미칼,"243,000",500,-0.21%,"5,000","27,545","11,335",40.02,"38,812",22.37,24.50,
109,한샘,"116,500","2,500",+2.19%,"1,000","27,417","23,534",24.03,"77,337",42.13,10.83,
110,신세계,"278,000","3,500",-1.24%,"5,000","27,370","9,845",25.82,"31,823",-26.45,-2.81,
111,삼성엔지니어링,"13,950",250,+1.82%,"5,000","27,342","196,000",24.67,"2,368,830",11.17,16.75,
112,CJ,"93,300",900,-0.96%,"5,000","27,222","29,177",18.97,"36,456",15.50,6.24,
113,휠라홀딩스,"43,800",850,-1.90%,"1,000","26,609","60,752",44.88,"345,933",19.16,10.94,
114,하이트진로,"37,750",500,-1.31%,"5,000","26,475","70,134",7.43,"211,625",31.04,8.23,
115,현대미포조선,"66,200","2,500",+3.92%,"5,000","26,442","39,942",13.50,"778,938",-135.66,-0.84,
116,한화생명,"3,005",30,-0.99%,"5,000","26,099","868,530",6.84,"2,206,591",11.09,1.90,
117,효성티앤씨,"592,000","19,000",-3.11%,"5,000","25,620","4,328",19.14,"60,150",18.73,25.10,
118,현대오토에버,"121,000","4,000",-3.20%,500,"25,410","21,000",2.14,"28,799",43.08,11.09,
119,TIGER 200,"41,825",50,+0.12%,0,"25,200","60,250",0.00,"294,611",N/A,N/A,
120,제일기획,"21,550",200,+0.94%,200,"24,791","115,041",32.71,"236,974",15.75,16.11,
121,두산인프라코어,"11,400","1,150",+11.22%,"5,000","24,688","216,564",8.71,"15,976,875",16.12,6.47,
122,포스코인터내셔널,"19,950",500,-2.44%,"5,000","24,613","123,375",9.72,"1,196,790",10.32,7.69,
123,DB하이텍,"55,200",100,-0.18%,"5,000","24,508","44,399",18.18,"285,236",14.80,23.07,
124,DL이앤씨,"125,000",500,+0.40%,"5,000","24,198","19,359",20.27,"175,849",N/A,N/A,
125,현대차우,"98,700",200,-0.20%,"5,000","24,040","24,357",56.68,"65,496",19.19,N/A,
126,한화,"30,800",600,+1.99%,"5,000","23,087","74,959",19.60,"252,043",14.10,4.79,
127,현대로템,"20,600",50,+0.24%,"5,000","22,483","109,142",5.88,"853,842",63.38,2.84,
128,한화시스템,"20,150",50,-0.25%,"5,000","22,211","110,230",3.50,"1,407,884",23.73,9.35,
129,LS,"68,600","2,600",+3.94%,"5,000","22,089","32,200",14.26,"182,564",17.42,3.94,
130,BNK금융지주,"6,760",20,+0.30%,"5,000","22,033","325,935",39.22,"599,110",4.59,7.07,
131,대한유화,"334,500","2,500",+0.75%,"5,000","21,742","6,500",21.31,"41,320",17.09,6.93,
132,메리츠화재,"17,850",100,+0.56%,500,"21,532","120,625",10.64,"171,937",5.23,12.80,
133,현대해상,"24,050",550,+2.34%,500,"21,501","89,400",37.57,"239,130",5.90,6.23,
134,현대위아,"77,900",100,+0.13%,"5,000","21,185","27,195",9.51,"150,750",34.75,1.96,
135,현대백화점,"90,400","1,400",+1.57%,"5,000","21,156","23,402",16.26,"160,666",30.08,1.65,
136,한화에어로스페이스,"41,600","1,600",+4.00%,"5,000","21,062","50,630",17.72,"540,096",17.42,4.78,
137,KCC,"237,000","7,500",+3.27%,"5,000","21,061","8,886",12.50,"53,130",3.53,12.79,
138,오뚜기,"571,000","2,000",+0.35%,"5,000","20,967","3,672",16.52,"1,240",19.49,7.93,
139,메리츠금융지주,"15,250",50,-0.33%,500,"20,437","134,011",8.06,"62,041",4.39,15.26,
140,F&F,"132,000","2,000",+1.54%,500,"20,328","15,400",10.73,"62,269",23.69,16.59,
141,HDC현대산업개발,"30,350",300,+1.00%,"5,000","20,003","65,907",11.08,"416,033",8.44,8.85,
142,KODEX 단기채권,"102,765",0,0.00%,0,"19,909","19,373",0.00,"25,272",N/A,N/A,
143,KODEX 200선물인버스2X,"2,130",0,0.00%,0,"19,521","916,500",1.88,"116,582,827",N/A,N/A,
